,Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
0,2009,1,Minnesota,0,Norovirus Genogroup II,Confirmed,Hotel/motel,21,0.0,19.0,0.0,19.0
1,2009,1,Minnesota,1,Norovirus,Suspected,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
2,2009,2,Minnesota,0,Norovirus,Suspected,"Other, specify",50,0.0,0.0,0.0,50.0
3,2009,1,Minnesota,0,Norovirus unknown,Confirmed,Restaurant,24,0.0,24.0,0.0,24.0
5,2009,1,Minnesota,1,Norovirus,Suspected,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
6,2009,1,Minnesota,1,Norovirus,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,3.0,0.0,3.0
7,2009,1,Minnesota,1,Norovirus,Confirmed,Restaurant - other or unknown type,21,0.0,21.0,0.0,21.0
8,2009,1,Minnesota,1,Norovirus,Confirmed,Restaurant - other or unknown type,7,0.0,7.0,0.0,7.0
9,2009,2,Minnesota,1,Norovirus,Confirmed,Restaurant - other or unknown type,5,0.0,5.0,0.0,5.0
10,2009,2,Minnesota,1,Norovirus Genogroup II,Suspected,Restaurant - other or unknown type,22,1.0,1.0,0.0,22.0
11,2009,2,Minnesota,1,Norovirus,Confirmed,Restaurant - other or unknown type,16,0.0,16.0,0.0,16.0
12,2009,2,Minnesota,1,Campylobacter jejuni,Confirmed,Restaurant - other or unknown type,11,2.0,11.0,0.0,11.0
13,2009,2,Minnesota,1,Norovirus,Confirmed,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
14,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,69,0.0,69.0,0.0,69.0
15,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,38,4.0,38.0,0.0,38.0
16,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,36,2.0,36.0,0.0,36.0
17,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,47,6.0,47.0,0.0,47.0
18,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,0.0,46.0,0.0,46.0
19,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11.0
22,2009,2,Alaska,1,Norovirus Genogroup I; Norovirus Genogroup II,Confirmed; Confirmed,Private home/residence,35,0.0,35.0,0.0,35.0
24,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25.0
25,2009,1,Alabama,1,Bacillus cereus,Confirmed,Restaurant - Sit-down dining,13,0.0,13.0,0.0,13.0
26,2009,1,Illinois,1,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
27,2009,1,Illinois,1,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,23,0.0,21.0,0.0,21.0
29,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Restaurant,10,0.0,10.0,0.0,10.0
31,2009,1,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,26,1.0,26.0,0.0,26.0
34,2009,1,Illinois,1,Salmonella enterica,Confirmed,Grocery store; Other,7,2.0,7.0,0.0,7.0
35,2009,1,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,16,0.0,16.0,0.0,16.0
37,2009,2,Illinois,1,Norovirus Genogroup II,Suspected,Other,51,0.0,50.0,0.0,50.0
38,2009,2,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,10,0.0,10.0,0.0,10.0
41,2009,2,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,13,0.0,13.0,0.0,13.0
43,2009,3,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22,1.0,16.0,0.0,16.0
44,2009,1,Iowa,0,Norovirus unknown,Confirmed,Restaurant,56,2.0,56.0,0.0,56.0
46,2009,3,Iowa,0,Norovirus,Suspected,School/college/university,33,0.0,5.0,0.0,5.0
49,2009,1,Pennsylvania,1,Campylobacter jejuni,Confirmed,Other,9,1.0,8.0,0.0,8.0
51,2009,1,Tennessee,1,Norovirus Genogroup I,Confirmed,Grocery store,8,1.0,8.0,0.0,8.0
52,2009,3,Tennessee,1,Norovirus Genogroup I,Confirmed,Restaurant - Sit-down dining,9,0.0,9.0,0.0,9.0
53,2009,3,New York,1,Shigella sonnei,Confirmed,Restaurant - Sit-down dining,96,0.0,96.0,0.0,96.0
54,2009,1,Massachusetts,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
55,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,0.0,43.0,0.0,43.0
56,2009,1,Massachusetts,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,3,2.0,3.0,0.0,3.0
